T27062;2026-09-23;18:21:33
Código de Integração;DESCRIÇÃO LOCAL;RAZÃO SOCIAL LOCAL;ATIVO LOCAL;PAÍS;ESTADO;CIDADE;BAIRRO;TIPO LOGRADOURO;LOGRADOURO;NÚMERO LOGRADOURO;COMPLEMENTO LOGRADOURO;CEP;NÚMERO TELEFONE CELULAR;NUMERO TELEFONE FIXO;E-MAIL;OBSERVAÇÃO;IDENTIFICADOR PESSOA RESPONSÁVEL;Transportadora;Títulos Vencidos;Forma de Pagamento Sugerida;Prazo de Pagamento Sugerido;Títulos A Vencer;Notas Fiscais;Contato;Formas de Pagamentos Disponíveis;Prazos de Pagamentos Disponíveis;Tipo de Frete;Entregas Realizadas;Pedidos
2131288080;NOSCAN RECREIO CENTRO AUTOMOTIVO;NOSCAN RECREIO CENTRO AUTOMOTIVO;1;Brasil;RJ;RIO DE JANEIRO;RECREIO;AVENIDA;AVENIDA DAS AMERICAS;14791;LOJA;22790701;;;;;;;;;;;;2131288080;;;;;
51158151511;CENTRO AUTOMOTIVO BARATÃO;CENTRO AUTOMOTIVO BARATÃO;1;Brasil;RIO DE JANEIRO;QUEIMADOS;;RUO;RUA MARTINIANO DE ALENCAR;;;25225320;;;;;;;;;;;;;;;;;
15151515151;DPH ILHA BORRACHARIA;DPH ILHA BORRACHARIA;1;Brasil;RIO DE JANEIRO;;;RUO;RUA MARTINIANO DE ALENCAR;;;25225320;;;;;;;;;;;;;;;;;
11445555555;IGREJA UNIVERSAL;IGREJA UNIVERSAL;1;Brasil;RIO DE JANEIRO;;;RUO;RUA MARTINIANO DE ALENCAR;;;25225320;;;;;;;;;;;;;;;;;
12646438702;BORRACHEIRO 2 IRMÃOS - BETO MOREIRA (QUEIMADOS);BORRACHEIRO 2 IRMÃOS - BETO MOREIRA (QUEIMADOS);1;Brasil;RIO  DE JANEIRO;QUEIMADOS;TINGUÁ;AVENIDA;CAMARIM;40;LOJA;26383140;;;;;;;;;;;;;;;;;
321987;BORRACHARIA QUEQUEL;;1;Brasil;RIO DE JANEIRO;NOVA IGUAÇU;EDSON PASSOS;;;;;;;;;;;;;;;;;;;;;;
25640331126;DANIEL DA ILHA;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
951;DUDU PNEUS ITAGUAI;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
17189537716;BORRACHARIA DEUS É FIEL - MISAEL;BORRACHARIA DEUS É FIEL - MISAEL;1;Brasil;RIO  DE JANEIRO;SEROPÉDICA;JARDINS;ESTRADA;ESTRADA RIO SÃO PAULO;126;;23087005;21979786072;;;;;;;;;;;;;;;;
10158210735;BORRACHARIA DO ALAN;BORRACHARIA DO ALAN;1;Brasil;RIO  DE JANEIRO;RIO DE JANEIRO;JACAREPAGUÁ;ESTRADA;ESTRADA DOS BANDEIRANTES;4226;CURICICA;21941060;;;;;;;;;;;;;;;;;
11515151515151;OLIVEIRA PNEUS;OLIVEIRA PNEUS;1;Brasil;RIO DE JANEIRO;QUEIMADOS;SÃO MIGUEL;RUO;RUA OLEGARIO DIAS;722;;25225320;;;;;;;;;;;;;;;;;
070.955.337-41;JADER FERRAZ DA SILVA - BORR. FERRAZ;JADER FERRAZ DA SILVA - BORR. FERRAZ;1;Brasil;RIO  DE JANEIRO;QUEIMADOS;;ESTRADA;OLEGARIO DIAS;0;SN;26311250;21999010785;;;;;;;;;;;;;;;;
Velople;Veloplex auto center;;1;Brasil;Rio de janeiro;Rio de janeiro;Vila isabel;Avenida;28 de setembro;409;;;;;;;;;;;;;;;;;;;
2154963,0;MATEUS BERRIEL;MATEUS BERRIEL;1;Brasil;RIO DE JANEIRO;QUEIMADOS;;RUA;;;;;21999840083;;;;;;;;;;;;;;;;
986532;GT ANGRA PNEUS;;1;Brasil;RIO DE JANEIRO;ANGRA DOS REIS;JAPUIBA;RUA;Japoranga;316;LOJA;23934055;;;;;;;;;;;;;;;;;
3216.54987;ATAUA  ILHA DO GOVERNADOR;;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
21968159054;PAI E FILHO;PAI E FILHO;1;Brasil;RIO DE JANEIRO;;;RUO;RUA MARTINIANO DE ALENCAR;;;25225320;21968159054;;;;;;;;;;;;;;;;
33774906000112;PAI & FILHO (LUCAS);PAI & FILHO (LUCAS);1;Brasil;RIO  DE JANEIRO;NOVA IGUAÇÚ;JARDIM DA POSSE;RUA;LOURIVAL TAVARES DE PAULA;0;;26022172;2131023015;;;;;;;;;;;;;;;;
01695169819841965819;ALFA CENTRO AUTOMOTIVO;ALFA CENTRO AUTOMOTIVO;1;Brasil;RIO DE JANEIRO;;;RUO;RUA MARTINIANO DE ALENCAR;;;25225320;;;;;;;;;;;;;;;;;
151151121969;CENTRO AUTOMOTIVO BARATÃO;CENTRO AUTOMOTIVO BARATÃO;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
321456321;BORRACHEIRO MARQUES (EST. DO CAMPINHO CG);;1;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;
