T27062;2026-09-23;13:06:03
ID SUBGRUPO DE ITENS;ID ITEM;DESCRIÇÃO ITEM;ATIVO ITEM;Preço de Venda R$;% Desconto Máximo;Preço Exame
Borracheiro;CX;CX;0;;;10.00
Borracheiro;CXB;CXB;1;;;15.00
Borracheiro;AI7;AI7;1;;;15.00
Borracheiro;06122023;CX;1;;;10.00
R13;175/70/R13/A6;175/70/R13/A6;1;;;20.00
R14;175/70/R14/A6;175/70/R14/A6;1;;;20.00
R14;185/60/R14/A6;185/60/R14 /A6;1;;;20.00
R15;185/60/R15/A6;185/60/R15/A6;1;;;10.00
R14;185/65/R14/A6;185/65/R14/A6;1;;;20
R15;185/65/R15/A6;185/65/R15/A6;1;;;10.00
R14;185/70/R14/A6;185/70/R14/A6;1;;;20.00
R14;185/R14/A6;185/R14/A6;1;;;30.00
R15;195/55/R15/A6;195/55/R15/A6;1;;;10.00
R16;195/55/R16/A6;195/55/R16/A6;1;;;15.00
R15;195/60/R15/A6;195/60/R15/A6;1;;;10.00
R15;195/65/R15/A6;195/65/R15/A6;1;;;10.00
R16;205/55/R16/A6;205/55/R16/A6;1;;;5.00
R15;205/60/R15/A6;205/60/R15/A6;1;;;10.00
R16;205/60/R16/A6;205/60/R16/A6;1;;;5.00
R15;205/65/R15/A6;205/65/R15/A6;1;;;20.00
R15;205/70/R15/A6;205/70/R15/A6;1;;;30.00
R16;215/65/R16/A6;215/65/R16/A6;1;;;5.00
R17;225/45/R17/A6;225/45/R17/A6;1;;;10.00
R16;225/65/R16/A6;225/65/R16/A6;1;;;00.00
R17;265/65/R17/A6;265/65/R17/A6;1;;;5.00
R16;265/70/R16/A6;265/70/R16/A6;1;;;10.00
17,5;215/75/R17,5;215/75/R17,5;1;;;160.00
R16;235/60/R16/A6;235/60/R16/A6;1;;;10.00
R16;205/75/R16/A6;205/75/R16/A6;1;;;30.00
R13;165/70/R13/A6;165/70/R13/A6;0;;;28.00
;;Padrão;1;;;
Borracheiro;TOK;TOK;1;;;30.00
Borracheiro;RI;RI;1;;;20.00
Borracheiro;MV;MV;1;;;40.00
Borracheiro;CXB II;CXB II;1;;;30.00
R14;175/65/R14/A6;175/65/R14/A6;1;;;20.00
R13;165/70/R13;165/70/R13;1;;;30.00
R14;175/70/R14;175/70/R14;1;;;30.00
R15;185/65/R15;185/65/R15;1;;;15.00
R15;195/55/R15;195/55/R15;1;;;15.00
R16;205/75/R16;205/75/R16;1;;;40.00
R16;265/70/R16;265/70/R16;1;;;20.00
R13;175/70/R13;175/70/R13;1;;;30.00
R14;185/60/R14;185/60/R14;1;;;30.00
R16;195/55/R16;195/55/R16;1;;;20.00
Borracheiro;7.50/16;7.50 1º;1;;;70.00
R14;175/65/R14;175/65/R14;1;;;30.00
R14;185/65/R14;185/65/R14;1;;;30.00
R14;185/70/R14;185/70/R14;1;;;30.00
R14;185/R14;185/R14;1;;;40.00
R15;185/60/R15;185/60/R15;1;;;15.00
R15;195/60/R15;195/60/R15;1;;;15.00
R15;195/65/R15;195/65/R15;1;;;15.00
R15;205/60/R15;205/60/R15;1;;;15.00
R15;205/65/R15;205/65/R15;1;;;20.00
R15;205/70/R15;205/70/R15;1;;;40.00
R16;205/55/R16;205/55/R16;1;;;5.00
R16;205/60/R16;205/60/R16;1;;;5.00
R16;215/65/R16;215/65/R16;1;;;5.00
R16;235/60/R16;235/60/R16;1;;;15.00
R17;265/65/R17;265/65/R17;1;;;5.00
R17;225/45/R17;225/45/R17;1;;;15.00
R16;225/65/R16;225/65/R16;1;;;5.00
Borracheiro;REFUGO 1º;REFUGO 1º;1;;;50.00
Borracheiro;REFUGO 2º;REFUGO 2º;1;;;20.00
Borracheiro;17.50 1º;17.50 1º;1;;;160.00
Borracheiro;17.50 2º;17.50 2º;1;;;80.00
R16;205/60/R16T;205/60/R16T;1;;;144.81
R17;265/65/R17T;265/65/R17T;1;;;149.28
R16;225/65/R16T;225/65/R16T;1;;;155.90
R13;165/70/R13/T;165/70/R13T;1;;;122.46
R14;175/65/R14T;175/65/R14T;1;;;128.18
R13;175/70/R13T;175/70/R13T;1;;;125.85
R14;175/70/R14T;175/70/R14T;1;;;129.61
R14;185/60/R14T;185/60/R14T;1;;;124.42
R15;185/60/R15T;185/60/R15T;1;;;126.43
R14;185/R14T;185/R14T;1;;;132.31
R14;185/70/R14T;185/70/R14T;1;;;130.51
R14;185/65/R14T;185/65/R14T;1;;;128.89
R15;185/65/R15T;185/65/R15T;1;;;131.75
R15;195/55/R15T;195/55/R15T;1;;;129.43
R15;195/60/R15T;195/60/R15T;1;;;131.04
R15;205/60/R15T;205/60/R15T;1;;;141.95
R16;205/55/R16T;205/55/R16T;1;;;134.08
R15;195/65/R15T;195/65/R15T;1;;;131.41
R15;205/65/R15T;205/65/R15T;1;;;144.81
R15;205/70/R15T;205/70/R15T;1;;;145.71
R16;195/55/R16T;195/55/R16T;1;;;1.30
R16;205/75/R16T;205/75/R16T;1;;;155.90
R16;215/65/R16T;215/65/R16T;1;;;153.04
R16;235/60/R16T;235/60/R16T;1;;;148.75
R16;265/70/R16T;265/70/R16T;1;;;166.30
R17;225/45/R17T;225/45/R17T;1;;;1.35
R13;165/70/R13/06;165/70/R13/A6;1;;;20.00
Borracheiro;RI2;RI 2º;1;;;15.00
FIM;95
